x,y,SNOW_ON_GROUND,MIN_TEMPERATURE,MAX_TEMPERATURE,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,STATION_NAME,LOCAL_DATE,PROVINCE_CODE,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,ID,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,LOCAL_YEAR,SPEED_MAX_GUST,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW
-72.45,48.88333333333333,,-1.1,-1.1,,0,,19.1,,5.1,,ALBANEL,1941-03-26 00:00:00,QC,,,,7060080.1941.3.26,7060080,0,,,-1.1,1941,,,,,3,,26,,,,5.1
-72.45,48.88333333333333,,-2.8,0,,0,,19.4,,0,,ALBANEL,1941-03-27 00:00:00,QC,,,,7060080.1941.3.27,7060080,0,,,-1.4,1941,,,,,3,,27,,,,0
-72.45,48.88333333333333,,-12.2,-1.1,,0,,24.7,,0,,ALBANEL,1941-03-28 00:00:00,QC,,,,7060080.1941.3.28,7060080,0,,,-6.7,1941,,,,,3,,28,,,,0
-72.45,48.88333333333333,,-15.6,-4.4,,0,,28,,0,,ALBANEL,1941-03-29 00:00:00,QC,,,,7060080.1941.3.29,7060080,0,,,-10,1941,,,,,3,,29,,,,0
-72.45,48.88333333333333,,-12.8,-6.1,,0,,27.5,,0,,ALBANEL,1941-03-30 00:00:00,QC,,,,7060080.1941.3.30,7060080,0,,,-9.5,1941,,,,,3,,30,,,,0
-72.45,48.88333333333333,,-13.3,-2.2,,0,,25.8,,2.5,,ALBANEL,1941-03-31 00:00:00,QC,,,,7060080.1941.3.31,7060080,0,,,-7.8,1941,,,,,3,,31,,,,2.5
-72.45,48.88333333333333,,-9.4,4.4,,0,,20.5,,0,,ALBANEL,1941-04-01 00:00:00,QC,,,,7060080.1941.4.1,7060080,0,,,-2.5,1941,,,,,4,,1,,,,0
-72.45,48.88333333333333,,-8.9,5,,0,,20,,0,,ALBANEL,1941-04-02 00:00:00,QC,,,,7060080.1941.4.2,7060080,0,,,-2,1941,,,,,4,,2,,,,0
-72.45,48.88333333333333,,-10.6,3.9,,0,,21.4,,0,,ALBANEL,1941-04-03 00:00:00,QC,,,,7060080.1941.4.3,7060080,0,,,-3.4,1941,,,,,4,,3,,,,0
-72.45,48.88333333333333,,-10.6,3.9,,0,,21.4,,0,,ALBANEL,1941-04-04 00:00:00,QC,,,,7060080.1941.4.4,7060080,0,,,-3.4,1941,,,,,4,,4,,,,0
